"region","state_code","state_abbr","municipio_code","municipio_name","zone"
"09002","09","CDMX","002","Azcapotzalco","Noroeste"
"09003","09","CDMX","003","Coyoacán","Suroeste"
"09004","09","CDMX","004","Cuajimalpa de Morelos","Suroeste"
"09005","09","CDMX","005","Gustavo A. Madero","Noreste"
"09006","09","CDMX","006","Iztacalco","Centro"
"09007","09","CDMX","007","Iztapalapa","Sureste"
"09008","09","CDMX","008","La Magdalena Contreras","Suroeste"
"09009","09","CDMX","009","Milpa Alta","Sureste"
"09010","09","CDMX","010","Álvaro Obregón","Suroeste"
"09011","09","CDMX","011","Tláhuac","Sureste"
"09012","09","CDMX","012","Tlalpan","Suroeste"
"09013","09","CDMX","013","Xochimilco","Sureste"
"09014","09","CDMX","014","Benito Juárez","Centro"
"09015","09","CDMX","015","Cuauhtémoc","Centro"
"09016","09","CDMX","016","Miguel Hidalgo","Noroeste"
"09017","09","CDMX","017","Venustiano Carranza","Centro"
"15013","15","MEX","013","Atizapán de Zaragoza","Noroeste"
"15020","15","MEX","020","Coacalco de Berriozábal","Noreste"
"15024","15","MEX","024","Cuautitlán","Noroeste"
"15025","15","MEX","025","Chalco","Sureste"
"15029","15","MEX","029","Chicoloapan","Noreste"
"15031","15","MEX","031","Chimalhuacán","Noreste"
"15037","15","MEX","037","Huixquilucan","Suroeste"
"15039","15","MEX","039","Ixtapaluca","Noreste"
"15057","15","MEX","057","Naucalpan de Juárez","Noroeste"
"15058","15","MEX","058","Nezahualcóyotl","Noreste"
"15060","15","MEX","060","Nicolás Romero","Noroeste"
"15070","15","MEX","070","La Paz","Noreste"
"15081","15","MEX","081","Tecámac","Noreste"
"15104","15","MEX","104","Tlalnepantla de Baz","Noroeste"
"15109","15","MEX","109","Tultitlán","Noroeste"
"15122","15","MEX","122","Valle de Chalco Solidaridad","Sureste"
"15033","15","MEX","033","Ecatepec","Noreste"
"15099","15","MEX","099","Texcoco","Noreste"
"15011","15","MEX","01","Atenco","Noreste"
"15002","15","MEX","002","Acolman","Noreste"
